"teams","pr_rnk","wins","loss","yr","conf"
"South Florida",NA,"20","13","2010","big-east"
"Seton Hall",NA,"19","13","2010","big-east"
"Cincinnati","12","19","16","2010","big-east"
"Connecticut",NA,"18","16","2010","big-east"
"St. John's (NY)",NA,"17","16","2010","big-east"
"Rutgers",NA,"15","17","2010","big-east"
"Providence","19","12","19","2010","big-east"
"DePaul",NA,"8","23","2010","big-east"
"Pittsburgh","5","28","6","2011","big-east"
"Notre Dame",NA,"27","7","2011","big-east"
"Syracuse",NA,"27","8","2011","big-east"
"Louisville",NA,"25","10","2011","big-east"
"St. John's (NY)","10","21","12","2011","big-east"
"Cincinnati",NA,"26","9","2011","big-east"
"West Virginia",NA,"21","12","2011","big-east"
"Georgetown",NA,"21","11","2011","big-east"
"Connecticut","6","32","9","2011","big-east"
"Villanova",NA,"21","12","2011","big-east"
"Marquette",NA,"22","15","2011","big-east"
"Seton Hall",NA,"13","18","2011","big-east"
"Rutgers",NA,"15","17","2011","big-east"
"Providence",NA,"15","17","2011","big-east"
"South Florida",NA,"10","23","2011","big-east"
"DePaul","20","7","24","2011","big-east"
"Syracuse","5","34","3","2012","big-east"
"Marquette","22","27","8","2012","big-east"
"Notre Dame","9","22","12","2012","big-east"
"Georgetown",NA,"24","9","2012","big-east"
"Cincinnati","21","26","11","2012","big-east"
"South Florida",NA,"22","14","2012","big-east"
"Louisville",NA,"30","10","2012","big-east"
"West Virginia",NA,"19","14","2012","big-east"
"Seton Hall",NA,"21","13","2012","big-east"
"Connecticut",NA,"20","14","2012","big-east"
"Rutgers",NA,"14","18","2012","big-east"
"St. John's (NY)","10","13","19","2012","big-east"
"Pittsburgh","4","22","17","2012","big-east"
"Villanova",NA,"13","19","2012","big-east"
"Providence",NA,"15","17","2012","big-east"
"DePaul",NA,"12","19","2012","big-east"
"Louisville","2","35","5","2013","big-east"
"Georgetown",NA,"25","7","2013","big-east"
"Marquette",NA,"26","9","2013","big-east"
"Pittsburgh",NA,"24","9","2013","big-east"
"Syracuse","9","30","10","2013","big-east"
"Notre Dame","22","25","10","2013","big-east"
"Connecticut",NA,"20","10","2013","big-east"
"Villanova","24","20","14","2013","big-east"
"Cincinnati",NA,"22","12","2013","big-east"
"Providence",NA,"19","15","2013","big-east"
"St. John's (NY)",NA,"17","16","2013","big-east"
"Rutgers",NA,"15","16","2013","big-east"
"Seton Hall",NA,"15","18","2013","big-east"
"South Florida",NA,"12","19","2013","big-east"
"DePaul",NA,"11","21","2013","big-east"
"Villanova",NA,"29","5","2014","big-east"
"Creighton",NA,"27","8","2014","big-east"
"Providence",NA,"23","12","2014","big-east"
"Xavier",NA,"21","13","2014","big-east"
"St. John's (NY)",NA,"20","13","2014","big-east"
"Marquette","17","17","15","2014","big-east"
"Georgetown",NA,"18","15","2014","big-east"
"Seton Hall",NA,"17","17","2014","big-east"
"Butler",NA,"14","17","2014","big-east"
"DePaul",NA,"12","21","2014","big-east"
"Villanova","12","33","3","2015","big-east"
"Butler",NA,"23","11","2015","big-east"
"Georgetown",NA,"22","11","2015","big-east"
"Providence",NA,"22","12","2015","big-east"
"St. John's (NY)",NA,"21","12","2015","big-east"
"Xavier",NA,"23","14","2015","big-east"
"Seton Hall",NA,"16","15","2015","big-east"
"DePaul",NA,"12","20","2015","big-east"
"Creighton",NA,"14","19","2015","big-east"
"Marquette",NA,"13","19","2015","big-east"
"Villanova","11","35","5","2016","big-east"
"Xavier",NA,"28","6","2016","big-east"
"Seton Hall",NA,"25","9","2016","big-east"
"Providence",NA,"24","11","2016","big-east"
"Butler",NA,"22","11","2016","big-east"
"Creighton",NA,"20","15","2016","big-east"
"Marquette",NA,"20","13","2016","big-east"
"Georgetown",NA,"15","18","2016","big-east"
"DePaul","24","9","22","2016","big-east"
"St. John's (NY)",NA,"8","24","2016","big-east"
"Villanova","4","32","4","2017","big-east"
"Butler",NA,"25","9","2017","big-east"
"Creighton","22","25","10","2017","big-east"
"Seton Hall","7","21","12","2017","big-east"
"Providence",NA,"20","13","2017","big-east"
"Marquette",NA,"19","13","2017","big-east"
"Xavier",NA,"24","14","2017","big-east"
"St. John's (NY)",NA,"14","19","2017","big-east"
"Georgetown",NA,"14","18","2017","big-east"
"DePaul",NA,"9","23","2017","big-east"
"Xavier","17","23","3","2018","big-east"
"Villanova","6","23","2","2018","big-east"
"Creighton",NA,"18","7","2018","big-east"
"Providence",NA,"16","9","2018","big-east"
"Butler","23","17","9","2018","big-east"
"Seton Hall",NA,"17","8","2018","big-east"
"Marquette",NA,"14","11","2018","big-east"
"Georgetown",NA,"14","10","2018","big-east"
"DePaul",NA,"10","14","2018","big-east"
"St. John's (NY)",NA,"13","13","2018","big-east"
"Weber State",NA,"26","6","2003","big-sky"
"Eastern Washington",NA,"18","13","2003","big-sky"
"Idaho State",NA,"15","14","2003","big-sky"
"Montana",NA,"13","17","2003","big-sky"
"Northern Arizona",NA,"15","13","2003","big-sky"
"Sacramento State",NA,"12","17","2003","big-sky"
"Montana State",NA,"11","16","2003","big-sky"
"Portland State",NA,"5","22","2003","big-sky"
"Eastern Washington",NA,"17","13","2004","big-sky"
"Northern Arizona",NA,"15","14","2004","big-sky"
"Weber State",NA,"15","14","2004","big-sky"
"Sacramento State",NA,"13","15","2004","big-sky"
"Idaho State",NA,"13","18","2004","big-sky"
"Montana State",NA,"14","13","2004","big-sky"
"Montana",NA,"10","18","2004","big-sky"
"Portland State",NA,"11","16","2004","big-sky"
"Portland State",NA,"19","9","2005","big-sky"
"Montana",NA,"18","13","2005","big-sky"
"Montana State",NA,"14","14","2005","big-sky"
"Sacramento State",NA,"12","16","2005","big-sky"
"Weber State",NA,"14","16","2005","big-sky"
"Eastern Washington",NA,"8","20","2005","big-sky"
"Northern Arizona",NA,"11","17","2005","big-sky"
"Idaho State",NA,"9","18","2005","big-sky"
"Northern Arizona",NA,"21","11","2006","big-sky"
"Montana",NA,"24","7","2006","big-sky"
"Eastern Washington",NA,"15","15","2006","big-sky"
"Montana State",NA,"15","15","2006","big-sky"
"Sacramento State",NA,"15","15","2006","big-sky"
"Portland State",NA,"12","16","2006","big-sky"
"Idaho State",NA,"13","14","2006","big-sky"
"Weber State",NA,"10","17","2006","big-sky"
"Weber State",NA,"20","12","2007","big-sky"
"Northern Arizona",NA,"18","12","2007","big-sky"
"Montana",NA,"17","15","2007","big-sky"
"Portland State",NA,"19","13","2007","big-sky"
"Eastern Washington",NA,"15","14","2007","big-sky"
"Idaho State",NA,"13","17","2007","big-sky"
"Montana State",NA,"11","19","2007","big-sky"
"Sacramento State",NA,"10","19","2007","big-sky"
"Northern Colorado-nm",NA,"4","24","2007","big-sky"
"Portland State",NA,"23","10","2008","big-sky"
"Northern Arizona",NA,"21","11","2008","big-sky"
"Weber State",NA,"16","14","2008","big-sky"
"Montana",NA,"14","16","2008","big-sky"
"Idaho State",NA,"12","19","2008","big-sky"
"Montana State",NA,"15","15","2008","big-sky"
"Northern Colorado",NA,"13","16","2008","big-sky"
"Eastern Washington",NA,"11","19","2008","big-sky"
"Sacramento State",NA,"4","24","2008","big-sky"
"Weber State",NA,"21","10","2009","big-sky"
"Portland State",NA,"23","10","2009","big-sky"
"Montana",NA,"17","12","2009","big-sky"
"Idaho State",NA,"13","19","2009","big-sky"
"Northern Colorado",NA,"14","18","2009","big-sky"
"Montana State",NA,"14","17","2009","big-sky"
"Eastern Washington",NA,"12","18","2009","big-sky"
"Northern Arizona",NA,"8","19","2009","big-sky"
"Sacramento State",NA,"2","27","2009","big-sky"
"Weber State",NA,"20","11","2010","big-sky"
"Northern Colorado",NA,"25","8","2010","big-sky"
"Montana State",NA,"15","14","2010","big-sky"
"Montana",NA,"22","10","2010","big-sky"
"Northern Arizona",NA,"14","14","2010","big-sky"
"Portland State",NA,"13","19","2010","big-sky"
"Eastern Washington",NA,"9","21","2010","big-sky"
"Idaho State",NA,"7","22","2010","big-sky"
"Sacramento State",NA,"9","21","2010","big-sky"
"Northern Colorado",NA,"21","11","2011","big-sky"
"Montana",NA,"21","11","2011","big-sky"
"Weber State",NA,"18","14","2011","big-sky"
"Northern Arizona",NA,"19","13","2011","big-sky"
"Montana State",NA,"13","18","2011","big-sky"
"Eastern Washington",NA,"10","20","2011","big-sky"
"Portland State",NA,"14","16","2011","big-sky"
"Idaho State",NA,"9","20","2011","big-sky"
"Sacramento State",NA,"7","21","2011","big-sky"
"Montana",NA,"25","7","2012","big-sky"
"Weber State",NA,"25","7","2012","big-sky"
"Portland State",NA,"17","15","2012","big-sky"
"Eastern Washington",NA,"15","17","2012","big-sky"
"Montana State",NA,"12","17","2012","big-sky"
"Idaho State",NA,"9","21","2012","big-sky"
"Sacramento State",NA,"10","18","2012","big-sky"
"Northern Colorado",NA,"9","19","2012","big-sky"
"Northern Arizona",NA,"5","24","2012","big-sky"
"Montana",NA,"25","7","2013","big-sky"
"Weber State",NA,"30","7","2013","big-sky"
"North Dakota",NA,"16","17","2013","big-sky"
"Montana State",NA,"13","17","2013","big-sky"
"Northern Colorado",NA,"13","18","2013","big-sky"
"Sacramento State",NA,"14","15","2013","big-sky"
"Southern Utah",NA,"11","20","2013","big-sky"
"Northern Arizona",NA,"11","21","2013","big-sky"
"Eastern Washington",NA,"10","21","2013","big-sky"
"Portland State",NA,"8","20","2013","big-sky"
"Idaho State",NA,"6","24","2013","big-sky"
"Weber State",NA,"19","12","2014","big-sky"
"Montana",NA,"17","13","2014","big-sky"
"North Dakota",NA,"17","17","2014","big-sky"
"Northern Arizona",NA,"15","17","2014","big-sky"
"Northern Colorado",NA,"18","14","2014","big-sky"
"Portland State",NA,"17","15","2014","big-sky"
"Eastern Washington",NA,"15","16","2014","big-sky"
"Sacramento State",NA,"14","16","2014","big-sky"
"Montana State",NA,"14","17","2014","big-sky"
"Idaho State",NA,"11","18","2014","big-sky"
"Southern Utah",NA,"2","27","2014","big-sky"
"Eastern Washington",NA,"26","9","2015","big-sky"
"Montana",NA,"20","13","2015","big-sky"
"Sacramento State",NA,"21","12","2015","big-sky"
"Northern Arizona",NA,"23","15","2015","big-sky"
"Northern Colorado",NA,"15","15","2015","big-sky"
"Portland State",NA,"15","14","2015","big-sky"
"Idaho",NA,"13","17","2015","big-sky"
"Weber State",NA,"13","17","2015","big-sky"
"Southern Utah",NA,"10","19","2015","big-sky"
"North Dakota",NA,"8","22","2015","big-sky"
"Idaho State",NA,"7","23","2015","big-sky"
"Montana State",NA,"7","23","2015","big-sky"
"Weber State",NA,"26","9","2016","big-sky"
"Montana",NA,"21","12","2016","big-sky"
"Idaho",NA,"21","13","2016","big-sky"
"Idaho State",NA,"16","15","2016","big-sky"
"Eastern Washington",NA,"18","16","2016","big-sky"
"North Dakota",NA,"17","16","2016","big-sky"
"Montana State",NA,"14","17","2016","big-sky"
"Portland State",NA,"13","18","2016","big-sky"
"Northern Colorado",NA,"10","21","2016","big-sky"
"Sacramento State",NA,"14","17","2016","big-sky"
"Southern Utah",NA,"6","24","2016","big-sky"
"Northern Arizona",NA,"5","25","2016","big-sky"
"North Dakota",NA,"22","10","2017","big-sky"
"Eastern Washington",NA,"22","12","2017","big-sky"
"Weber State",NA,"20","14","2017","big-sky"
"Idaho",NA,"19","14","2017","big-sky"
"Montana",NA,"16","16","2017","big-sky"
"Montana State",NA,"16","16","2017","big-sky"
"Sacramento State",NA,"13","18","2017","big-sky"
"Portland State",NA,"15","16","2017","big-sky"
"Northern Colorado",NA,"11","18","2017","big-sky"
"Northern Arizona",NA,"9","23","2017","big-sky"
"Southern Utah",NA,"6","27","2017","big-sky"
"Idaho State",NA,"5","26","2017","big-sky"
"Montana",NA,"20","5","2018","big-sky"
"Weber State",NA,"17","7","2018","big-sky"
"Idaho",NA,"17","7","2018","big-sky"
"Eastern Washington",NA,"12","13","2018","big-sky"
"Northern Colorado",NA,"16","10","2018","big-sky"
"Idaho State",NA,"11","12","2018","big-sky"
"Montana State",NA,"13","13","2018","big-sky"
"Portland State",NA,"15","10","2018","big-sky"
"Southern Utah",NA,"10","13","2018","big-sky"
"Sacramento State",NA,"6","19","2018","big-sky"
"North Dakota",NA,"8","17","2018","big-sky"
"Northern Arizona",NA,"4","21","2018","big-sky"
"Winthrop",NA,"20","10","2003","big-south"
"Charleston Southern",NA,"14","14","2003","big-south"
"Liberty",NA,"14","15","2003","big-south"
"Elon",NA,"12","15","2003","big-south"
"North Carolina-Asheville",NA,"15","17","2003","big-south"
"Radford",NA,"10","20","2003","big-south"
"Coastal Carolina",NA,"13","15","2003","big-south"
"High Point",NA,"7","20","2003","big-south"
"Birmingham-Southern",NA,"20","7","2004","big-south"
"Liberty",NA,"18","15","2004","big-south"
"High Point",NA,"19","11","2004","big-south"
"Winthrop",NA,"16","12","2004","big-south"
"Coastal Carolina",NA,"14","15","2004","big-south"
"Radford",NA,"12","16","2004","big-south"
"North Carolina-Asheville",NA,"9","20","2004","big-south"
"Virginia Military Institute",NA,"6","22","2004","big-south"
"Charleston Southern",NA,"6","22","2004","big-south"
"Winthrop",NA,"27","6","2005","big-south"
"Liberty",NA,"13","15","2005","big-south"
"North Carolina-Asheville",NA,"11","17","2005","big-south"
"Birmingham-Southern",NA,"16","14","2005","big-south"
"Charleston Southern",NA,"13","17","2005","big-south"
"Radford",NA,"12","16","2005","big-south"
"High Point",NA,"13","18","2005","big-south"
"Coastal Carolina",NA,"10","19","2005","big-south"
"Virginia Military Institute",NA,"9","18","2005","big-south"
"Winthrop",NA,"23","8","2006","big-south"
"Birmingham-Southern",NA,"19","9","2006","big-south"
"Coastal Carolina",NA,"20","10","2006","big-south"
"Radford",NA,"16","13","2006","big-south"
"High Point",NA,"16","13","2006","big-south"
"Charleston Southern",NA,"13","16","2006","big-south"
"North Carolina-Asheville",NA,"9","19","2006","big-south"
"Liberty",NA,"7","23","2006","big-south"
"Virginia Military Institute",NA,"7","20","2006","big-south"
"Winthrop",NA,"29","5","2007","big-south"
"High Point",NA,"22","10","2007","big-south"
"Liberty",NA,"14","17","2007","big-south"
"Coastal Carolina",NA,"15","15","2007","big-south"
"North Carolina-Asheville",NA,"12","19","2007","big-south"
"Virginia Military Institute",NA,"14","19","2007","big-south"
"Radford",NA,"8","22","2007","big-south"
"Charleston Southern",NA,"8","22","2007","big-south"
"North Carolina-Asheville",NA,"23","10","2008","big-south"
"Winthrop",NA,"22","12","2008","big-south"
"High Point",NA,"17","14","2008","big-south"
"Liberty",NA,"16","16","2008","big-south"
"Virginia Military Institute",NA,"14","15","2008","big-south"
"Coastal Carolina",NA,"13","15","2008","big-south"
"Radford",NA,"10","20","2008","big-south"
"Charleston Southern",NA,"10","20","2008","big-south"
"Radford",NA,"21","12","2009","big-south"
"Virginia Military Institute",NA,"24","8","2009","big-south"
"Liberty",NA,"23","12","2009","big-south"
"North Carolina-Asheville",NA,"15","16","2009","big-south"
"Gardner-Webb",NA,"13","17","2009","big-south"
"Winthrop",NA,"11","19","2009","big-south"
"Coastal Carolina",NA,"11","20","2009","big-south"
"Charleston Southern",NA,"9","20","2009","big-south"
"High Point",NA,"9","21","2009","big-south"
"Presbyterian-nm",NA,"12","17","2009","big-south"
"Coastal Carolina",NA,"28","7","2010","big-south"
"Radford",NA,"19","12","2010","big-south"
"Winthrop",NA,"19","14","2010","big-south"
"North Carolina-Asheville",NA,"15","16","2010","big-south"
"High Point",NA,"15","15","2010","big-south"
"Liberty",NA,"15","16","2010","big-south"
"Charleston Southern",NA,"13","17","2010","big-south"
"Virginia Military Institute",NA,"10","19","2010","big-south"
"Gardner-Webb",NA,"8","21","2010","big-south"
"Presbyterian-nm",NA,"5","26","2010","big-south"
"Coastal Carolina",NA,"28","6","2011","big-south"
"Liberty",NA,"19","13","2011","big-south"
"North Carolina-Asheville",NA,"20","14","2011","big-south"
"Virginia Military Institute",NA,"18","13","2011","big-south"
"Charleston Southern",NA,"16","16","2011","big-south"
"Winthrop",NA,"13","17","2011","big-south"
"Presbyterian",NA,"13","18","2011","big-south"
"High Point",NA,"12","19","2011","big-south"
"Gardner-Webb",NA,"11","21","2011","big-south"
"Radford",NA,"5","24","2011","big-south"
"North Carolina-Asheville",NA,"24","10","2012","big-south"
"Coastal Carolina",NA,"19","12","2012","big-south"
"Charleston Southern",NA,"19","12","2012","big-south"
"Campbell",NA,"17","15","2012","big-south"
"Liberty",NA,"14","18","2012","big-south"
"Virginia Military Institute",NA,"17","16","2012","big-south"
"Presbyterian",NA,"14","15","2012","big-south"
"High Point",NA,"13","18","2012","big-south"
"Winthrop",NA,"12","20","2012","big-south"
"Gardner-Webb",NA,"12","20","2012","big-south"
"Radford",NA,"6","26","2012","big-south"
"High Point",NA,"17","14","2013","big-south"
"Virginia Military Institute",NA,"14","17","2013","big-south"
"Radford",NA,"13","19","2013","big-south"
"Campbell",NA,"13","20","2013","big-south"
"Liberty",NA,"15","21","2013","big-south"
"Longwood",NA,"8","25","2013","big-south"
"Charleston Southern",NA,"19","13","2013","big-south"
"Gardner-Webb",NA,"21","13","2013","big-south"
"North Carolina-Asheville",NA,"16","16","2013","big-south"
"Coastal Carolina",NA,"14","15","2013","big-south"
"Winthrop",NA,"14","17","2013","big-south"
"Presbyterian",NA,"8","24","2013","big-south"
"High Point",NA,"16","15","2014","big-south"
"Virginia Military Institute",NA,"22","13","2014","big-south"
"Radford",NA,"22","13","2014","big-south"
"Campbell",NA,"12","20","2014","big-south"
"Liberty",NA,"11","21","2014","big-south"
"Longwood",NA,"8","24","2014","big-south"
"Coastal Carolina",NA,"21","13","2014","big-south"
"Winthrop",NA,"20","13","2014","big-south"
"Gardner-Webb",NA,"18","15","2014","big-south"
"North Carolina-Asheville",NA,"17","15","2014","big-south"
"Charleston Southern",NA,"13","18","2014","big-south"
"Presbyterian",NA,"6","26","2014","big-south"
"High Point",NA,"23","10","2015","big-south"
"Charleston Southern",NA,"19","12","2015","big-south"
"Coastal Carolina",NA,"24","10","2015","big-south"
"Radford",NA,"22","12","2015","big-south"
"Winthrop",NA,"19","13","2015","big-south"
"Gardner-Webb",NA,"20","15","2015","big-south"
"North Carolina-Asheville",NA,"15","16","2015","big-south"
"Presbyterian",NA,"10","22","2015","big-south"
"Longwood",NA,"11","23","2015","big-south"
"Campbell",NA,"10","22","2015","big-south"
"Liberty",NA,"8","24","2015","big-south"
"Winthrop",NA,"23","9","2016","big-south"
"High Point",NA,"21","11","2016","big-south"
"North Carolina-Asheville",NA,"22","12","2016","big-south"
"Coastal Carolina",NA,"21","12","2016","big-south"
"Gardner-Webb",NA,"17","16","2016","big-south"
"Liberty",NA,"13","19","2016","big-south"
"Radford",NA,"16","15","2016","big-south"
"Campbell",NA,"12","18","2016","big-south"
"Presbyterian",NA,"11","20","2016","big-south"
"Longwood",NA,"10","23","2016","big-south"
"Charleston Southern",NA,"9","21","2016","big-south"
"Winthrop",NA,"26","7","2017","big-south"
"North Carolina-Asheville",NA,"23","10","2017","big-south"
"Liberty",NA,"21","14","2017","big-south"
"Gardner-Webb",NA,"19","14","2017","big-south"
"High Point",NA,"15","16","2017","big-south"
"Radford",NA,"14","18","2017","big-south"
"Campbell",NA,"19","18","2017","big-south"
"Charleston Southern",NA,"12","19","2017","big-south"
"Longwood",NA,"6","24","2017","big-south"
"Presbyterian",NA,"5","25","2017","big-south"
"North Carolina-Asheville",NA,"18","9","2018","big-south"
"Winthrop",NA,"16","9","2018","big-south"
"Radford",NA,"15","12","2018","big-south"
"Campbell",NA,"14","12","2018","big-south"
"Liberty",NA,"16","11","2018","big-south"
"High Point",NA,"12","13","2018","big-south"
"Gardner-Webb",NA,"12","15","2018","big-south"
"Charleston Southern",NA,"11","14","2018","big-south"
"Presbyterian",NA,"10","17","2018","big-south"
"Longwood",NA,"6","21","2018","big-south"
"Wisconsin",NA,"24","8","2003","big-ten"
"Illinois",NA,"25","7","2003","big-ten"
"Michigan","9","17","13","2003","big-ten"
"Purdue",NA,"19","11","2003","big-ten"
"Michigan State","21","22","13","2003","big-ten"
"Indiana",NA,"21","13","2003","big-ten"
"Minnesota","24","19","14","2003","big-ten"
"Ohio State",NA,"17","15","2003","big-ten"
"Iowa",NA,"17","14","2003","big-ten"
"Northwestern",NA,"12","17","2003","big-ten"
"Penn State",NA,"7","21","2003","big-ten"
"Illinois","13","26","7","2004","big-ten"
"Wisconsin","15","25","7","2004","big-ten"
"Michigan State",NA,"18","12","2004","big-ten"
"Iowa",NA,"16","13","2004","big-ten"
"Michigan",NA,"23","11","2004","big-ten"
"Northwestern",NA,"14","15","2004","big-ten"
"Purdue",NA,"17","14","2004","big-ten"
"Indiana","3","14","15","2004","big-ten"
"Ohio State",NA,"14","16","2004","big-ten"
"Minnesota",NA,"12","18","2004","big-ten"
"Penn State",NA,"9","19","2004","big-ten"
"Illinois","5","37","2","2005","big-ten"
"Michigan State","13","26","7","2005","big-ten"
"Wisconsin","21","25","9","2005","big-ten"
"Indiana",NA,"15","14","2005","big-ten"
"Minnesota",NA,"21","11","2005","big-ten"
"Ohio State",NA,"20","12","2005","big-ten"
"Iowa",NA,"21","12","2005","big-ten"
"Northwestern",NA,"15","16","2005","big-ten"
"Michigan",NA,"13","18","2005","big-ten"
"Purdue",NA,"7","21","2005","big-ten"
"Penn State",NA,"7","23","2005","big-ten"
"Ohio State",NA,"26","6","2006","big-ten"
"Iowa","20","25","9","2006","big-ten"
"Illinois","17","26","7","2006","big-ten"
"Wisconsin",NA,"19","12","2006","big-ten"
"Indiana",NA,"19","12","2006","big-ten"
"Michigan State","4","22","12","2006","big-ten"
"Michigan",NA,"22","11","2006","big-ten"
"Penn State",NA,"15","15","2006","big-ten"
"Northwestern",NA,"14","15","2006","big-ten"
"Minnesota",NA,"16","15","2006","big-ten"
"Purdue","24","9","19","2006","big-ten"
"Ohio State","7","35","4","2007","big-ten"
"Wisconsin","9","30","6","2007","big-ten"
"Indiana",NA,"21","11","2007","big-ten"
"Iowa",NA,"17","14","2007","big-ten"
"Purdue",NA,"22","12","2007","big-ten"
"Illinois",NA,"23","12","2007","big-ten"
"Michigan State",NA,"23","12","2007","big-ten"
"Michigan",NA,"22","13","2007","big-ten"
"Minnesota",NA,"9","22","2007","big-ten"
"Northwestern",NA,"13","18","2007","big-ten"
"Penn State",NA,"11","19","2007","big-ten"
"Wisconsin",NA,"31","5","2008","big-ten"
"Purdue",NA,"25","9","2008","big-ten"
"Indiana","8","25","8","2008","big-ten"
"Michigan State",NA,"27","9","2008","big-ten"
"Ohio State",NA,"24","13","2008","big-ten"
"Minnesota",NA,"20","14","2008","big-ten"
"Penn State",NA,"15","16","2008","big-ten"
"Iowa",NA,"13","19","2008","big-ten"
"Michigan",NA,"10","22","2008","big-ten"
"Illinois","9","16","19","2008","big-ten"
"Northwestern",NA,"8","22","2008","big-ten"
"Michigan State","6","31","7","2009","big-ten"
"Illinois",NA,"24","10","2009","big-ten"
"Purdue","11","27","10","2009","big-ten"
"Wisconsin","25","20","13","2009","big-ten"
"Ohio State",NA,"22","11","2009","big-ten"
"Penn State",NA,"27","11","2009","big-ten"
"Michigan",NA,"21","14","2009","big-ten"
"Minnesota",NA,"22","11","2009","big-ten"
"Northwestern",NA,"17","14","2009","big-ten"
"Iowa",NA,"15","17","2009","big-ten"
"Indiana",NA,"6","25","2009","big-ten"
"Ohio State","16","29","8","2010","big-ten"
"Purdue","7","29","6","2010","big-ten"
"Michigan State","2","28","9","2010","big-ten"
"Wisconsin",NA,"24","9","2010","big-ten"
"Illinois","23","21","15","2010","big-ten"
"Minnesota",NA,"21","14","2010","big-ten"
"Northwestern","25","20","14","2010","big-ten"
"Michigan","15","15","17","2010","big-ten"
"Iowa",NA,"10","22","2010","big-ten"
"Indiana",NA,"10","21","2010","big-ten"
"Penn State",NA,"11","20","2010","big-ten"
"Ohio State","4","34","3","2011","big-ten"
"Purdue","14","26","8","2011","big-ten"
"Wisconsin",NA,"25","9","2011","big-ten"
"Michigan",NA,"21","14","2011","big-ten"
"Illinois",NA,"20","14","2011","big-ten"
"Michigan State",NA,"19","15","2011","big-ten"
"Penn State","13","19","15","2011","big-ten"
"Northwestern",NA,"20","14","2011","big-ten"
"Minnesota",NA,"17","14","2011","big-ten"
"Iowa","2","11","20","2011","big-ten"
"Indiana",NA,"12","20","2011","big-ten"
"Ohio State","3","31","8","2012","big-ten"
"Michigan State",NA,"29","8","2012","big-ten"
"Michigan","18","24","10","2012","big-ten"
"Wisconsin","15","26","10","2012","big-ten"
"Indiana",NA,"27","9","2012","big-ten"
"Purdue",NA,"22","13","2012","big-ten"
"Northwestern",NA,"19","14","2012","big-ten"
"Iowa",NA,"18","17","2012","big-ten"
"Minnesota",NA,"23","15","2012","big-ten"
"Illinois",NA,"17","15","2012","big-ten"
"Nebraska",NA,"12","18","2012","big-ten"
"Penn State",NA,"12","20","2012","big-ten"
"Indiana","1","29","7","2013","big-ten"
"Ohio State","4","29","8","2013","big-ten"
"Michigan State","14","27","9","2013","big-ten"
"Michigan","5","31","8","2013","big-ten"
"Wisconsin","23","23","12","2013","big-ten"
"Iowa",NA,"25","13","2013","big-ten"
"Illinois",NA,"23","13","2013","big-ten"
"Minnesota",NA,"21","13","2013","big-ten"
"Purdue",NA,"16","18","2013","big-ten"
"Nebraska",NA,"15","18","2013","big-ten"
"Northwestern",NA,"13","19","2013","big-ten"
"Penn State",NA,"10","21","2013","big-ten"
"Michigan","7","28","9","2014","big-ten"
"Wisconsin","20","30","8","2014","big-ten"
"Michigan State","2","29","9","2014","big-ten"
"Nebraska",NA,"19","13","2014","big-ten"
"Ohio State",NA,"25","10","2014","big-ten"
"Iowa",NA,"20","13","2014","big-ten"
"Minnesota",NA,"25","13","2014","big-ten"
"Illinois",NA,"20","15","2014","big-ten"
"Indiana","11","17","15","2014","big-ten"
"Penn State",NA,"16","18","2014","big-ten"
"Northwestern",NA,"14","19","2014","big-ten"
"Purdue",NA,"15","17","2014","big-ten"
"Wisconsin","3","36","4","2015","big-ten"
"Maryland",NA,"28","7","2015","big-ten"
"Michigan State","18","27","12","2015","big-ten"
"Iowa",NA,"22","12","2015","big-ten"
"Purdue","24","21","13","2015","big-ten"
"Ohio State",NA,"24","11","2015","big-ten"
"Indiana","21","20","14","2015","big-ten"
"Illinois",NA,"19","14","2015","big-ten"
"Michigan",NA,"16","16","2015","big-ten"
"Minnesota","20","18","15","2015","big-ten"
"Northwestern",NA,"15","17","2015","big-ten"
"Nebraska",NA,"13","18","2015","big-ten"
"Penn State",NA,"18","16","2015","big-ten"
"Rutgers",NA,"10","22","2015","big-ten"
"Indiana","23","27","8","2016","big-ten"
"Michigan State","3","29","6","2016","big-ten"
"Maryland","13","27","9","2016","big-ten"
"Purdue","15","26","9","2016","big-ten"
"Iowa",NA,"22","11","2016","big-ten"
"Wisconsin",NA,"22","13","2016","big-ten"
"Ohio State",NA,"21","14","2016","big-ten"
"Michigan",NA,"23","13","2016","big-ten"
"Northwestern",NA,"20","12","2016","big-ten"
"Penn State",NA,"16","16","2016","big-ten"
"Nebraska","25","16","18","2016","big-ten"
"Illinois",NA,"15","19","2016","big-ten"
"Minnesota","17","8","23","2016","big-ten"
"Rutgers",NA,"7","25","2016","big-ten"
"Purdue","15","27","8","2017","big-ten"
"Wisconsin","11","27","10","2017","big-ten"
"Maryland",NA,"24","9","2017","big-ten"
"Minnesota",NA,"24","10","2017","big-ten"
"Michigan",NA,"26","12","2017","big-ten"
"Northwestern","12","24","12","2017","big-ten"
"Michigan State","9","20","15","2017","big-ten"
"Iowa","25","19","15","2017","big-ten"
"Illinois",NA,"20","15","2017","big-ten"
"Ohio State",NA,"17","15","2017","big-ten"
"Indiana",NA,"18","16","2017","big-ten"
"Penn State",NA,"15","18","2017","big-ten"
"Nebraska",NA,"12","19","2017","big-ten"
"Rutgers",NA,"15","18","2017","big-ten"
